PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.5 uM,Standard Deviation,Inhibition at 8.5 uM [1],Inhibition at 8.5 uM [2],Inhibition at 8.5 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized average percent inhibition of the counterscreen at a compound concentration of 8.5 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 1.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 2.,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.5 uM. Replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
38,85271027,2361547,COC1=CC=C(C=C1)/C=C\2/C(=O)N(C(=O)S2)CCCC(=O)NC3=C(C=CC(=C3)Cl)C(=O)O,Active,90,,,88.85,0.600438,89.6585,88.217,88.6851
39,92764806,6514881,CCN(CC(C(=O)/C=C/C1=CC=C(C=C1)/C=C/C(=O)C(CN(CC)CC)(C)C)(C)C)CC.Br,Active,90,,,88.66,1.14671,89.4867,87.036,89.4499
40,87341203,5307346,CC1=C(C(=NC2=CC(=NN12)C3=CC(=CC(=C3)OC)OC)C)CCC(=O)O,Active,90,,,88.63,0.598749,88.5352,87.9474,89.405
41,160654184,70680040,CN1[C@@H]2C(=O)N3[C@@H]4[C@](C[C@@]3(C1=O)SS2)(C5=CC=CC=C5N4S(=O)(=O)C6=CC=CC=C6)C7=CNC8=CC=CC=C87,Active,89,,,88.32,0.8117,87.4254,88.1525,89.3916
42,24807501,3219869,CC1CCCCN1C2=NC=NC3=C2SN=C3C4=CC=C(C=C4)OC,Active,89,,,88.28,0.357085,88.2853,88.7207,87.846
43,26671426,16410414,CC1=CC2=C(C=C1)OC(=N2)/N=C(\N)/NC(=O)C(C)(C)C,Active,89,,,88.2,1.48284,88.5363,86.2432,89.8292
44,14729238,1472216,COC1=NC=C(C=C1)NC(=O)/C(=C(\S(=O)CC2=CC=CC=C2)/Cl)/Cl,Active,89,,,88.18,0.97945,87.0416,88.0672,89.4327
45,89853863,9678325,CC1=NN(C(=C1/C=N/NC2=NC3=CC=CC=C3S2)Cl)C4=CC=CC=C4Cl,Active,89,,,88.12,1.0439,88.5194,89.1491,86.688
46,22410530,135401264,CN=C1N(C(=CS1)C2=CC=CS2)/N=C/C3=CC=CC=C3O,Active,89,,,87.85,1.01316,88.114,88.9333,86.4949
47,57260394,1570,C1=CC(=S)N(C=C1)O,Active,88,,,87.25,3.55073,83.5676,86.1399,92.049
