PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 3.6 uM,Standard Deviation,Inhibition at 3.6 uM [1],Inhibition at 3.6 uM [2],Inhibition at 3.6 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Average percent inhibition of the counterscreen at a compound concentration of 3.6 uM.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Percent inhibition of the counterscreen at a compound concentration of 3.6 uM; replicate 1.,Percent inhibition of the counterscreen at a compound concentration of 3.6 uM; replicate 2.,Percent inhibition of the counterscreen at a compound concentration of 3.6 uM; replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
43,57261406,16955,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=C(C=C3)N(CC)CC.[Cl-],Active,97,,,97.12,0.305059,97.1438,97.4856,96.7393
44,26725087,15571694,CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,Active,97,,,97.06,0.352176,96.6254,97.4877,97.0778
45,92764136,6711209,CC1=CC2C(CC1)([C@@]3([C@H](C[C@@H]([C@]34CO4)O2)OC(=O)C)C)C,Active,97,,,96.85,0.263795,96.5432,97.1875,96.823
46,92763413,430508,CCC(C)(C(=O)OC1C2C(C(C3(C4C2(CO3)C(CC5C4(C(C(=O)C=C5C)O)C)OC1=O)O)O)C)O,Active,97,,,96.84,0.37143,97.3141,96.7902,96.408
47,49646648,917183,CC1=CC=C(C=C1)C(=O)SC2=CC=CC=CC2=O,Active,97,,,96.84,0.76509,97.853,96.0081,96.6452
48,99356200,283138,CC1C2=C(C3C(O1)CC(=O)O3)C(=O)C4=C(C2=O)C(=CC=C4)O,Active,97,,,96.81,0.849922,95.8142,97.891,96.7272
49,99355762,3704473,CC1=CC2C(CC1)(C3(C(CC(C34CO4)O2)OC(=O)C)C)C,Active,97,,,96.78,0.310092,96.369,96.8468,97.1192
50,24803318,16192614,CCCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,Active,97,,,96.76,0.828808,96.9142,95.6728,97.6847
51,99454010,56603505,CCN\1C2=CC=CC=C2C(/C1=C\C=C\C3=[N+](C4=CC=CC=C4C3(C)C)CC)(C)C.[O-]Cl(=O)(=O)=O,Active,97,,,96.74,0.858651,96.6558,97.836,95.7382
52,51087881,24892253,CCCOC(=O)C1=CC=C(C=C1)[N+]2=C(C=C(C=C2C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,97,,,96.59,0.0920969,96.5857,96.6982,96.4726
53,56463137,9828429,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3(C4CC[C@@]5([C@H](CC[C@@]5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O,Active,96,,,96.5,0.286456,96.774,96.6224,96.1049
